circoscrizione,nome,votanti,bianche,nulle,primo,punti_primo,secondo,punti_secondoi,terzo,punti_terzo,potere_popolo,popolo_famiglia,casapound,m5s,liberi_uguali,valore_umano,centro_sinistra,centro_destra,validi
1,Gardolo,7537,"0,74","2,3",centro destra,"38,08",centro sinistra,"27,89",m5s,"27,45","1,33","0,62","1,23","27,45","3,08","0,33","27,89","38,08",7308
2,Meano,3107,"0,74","3,44",centro destra,"36,48",centro sinistra,"28,69",m5s,"28,65","1,01","0,97","1,11","28,65","2,65","0,44","28,69","36,48",2977
3,Bondone,3431,"0,82","1,84",centro sinistra,"34,13",centro destra,"31,86",m5s,"27,31","1,32","1,05","1,02","27,31","3,02","0,3","34,13","31,86",3340
4,Sardagna,752,"0,27","1,6",centro sinistra,"39,16",centro destra,"31,3",m5s,"21,68","1,49","2,57","1,08","21,68","1,63","1,08","39,16","31,3",738
5,Ravina-Romagnano,3111,"0,84","1,64",centro destra,"34,51",centro sinistra,"32,99",m5s,"25,48","1,05","0,76","1,19","25,48","3,63","0,4","32,99","34,51",3034
6,Argentario,8189,"0,72","1,29",centro sinistra,"39,13",centro destra,"31,02",m5s,"22,03","1,25","1,07","0,9","22,03","4,5","0,35","39,13","31,02",8024
7,Povo,3596,"0,86","3,67",centro sinistra,"43,18",centro destra,"26,74",m5s,"21,24","1,84","0,73","0,58","21,24","4,63","0,44","43,81","26,74",3433
8,Mattarello,3769,"0,82","1,75",centro destra,"34,72",centro sinistra,"32,9",m5s,"25,35","1,47","0,71","1,2","25,35","3,24","0,41","32,9","34,72",3672
9,Villazzano,3393,"0,53","1,83",centro sinistra,"40,9",centro destra,"30,3",m5s,"21,94","0,88","0,88",1,"21,94","3,89","0,21","40,9","30,3",3313
10,Oltrefersina,11420,"0,85","1,67",centro sinistra,"38,92",centro destra,"30,73",m5s,"21,38","1,86","0,89","0,92","21,38","5,04","0,26","38,92","30,73",11132
11,S.Giuseppe – S. Chiara,9988,"0,77","1,92",centro sinistra,"43,42",centro destra,"28,34",m5s,"18,24","2,21",1,"0,92","18,24","5,68","0,2","43,42","28,34",9719
12,Centro Storico Piedicastello,10857,"0,58","1,62",centro sinistra,"36,8",centro destra,"31,04",m5s,"22,36","2,48","0,69","0,98","22,36","5,06","0,37","36,8","31,04",10618
