codice,tipo,descrizione,pari_dispari,dal_numero,dalla_barra,al_numero,alla_barra,sezione,circoscrizione
5630,Via,òRA DEL GARDA,D,1,,99,,88,1
3355,Piazza,"""TRIDENTE""",D,1,,27,,13,12
3355,Piazza,"""TRIDENTE""",P,2,,26,,13,12
2520,Via,A PRATO,D,1,,19,,19,11
2520,Via,A PRATO,P,2,,22,3,19,11
2520,Via,A PRATO,P,24,,52,,20,11
10,Via,ABBA,D,7,,13,,17,11
10,Via,ABBA,P,2,,14,,17,11
20,Via,ABONDI,D,1,,49,,8,12
20,Via,ABONDI,P,2,,2,,8,12
30,Via,ACONCIO,D,1,,25,,6,12
30,Via,ACONCIO,P,2,,2,,6,12
7875,localita',ACQUAVIVA,D,3,,15,,56,8
7875,localita',ACQUAVIVA,P,6,,10,,56,8
40,Via,ADAMELLO,D,1,,17,,36,10
40,Via,ADAMELLO,P,2,,48,,36,10
50,Piazza,ADAMO D'AROGNO,D,1,,13,,4,12
50,Piazza,ADAMO D'AROGNO,P,2,,12,,4,12
60,Vicolo,ADIGE,D,1,,31,,3,12
60,Vicolo,ADIGE,P,2,,18,,3,12
70,Galleria,ADRIA,D,3,,5,,4,12
70,Galleria,ADRIA,P,4,,4,,4,12
5010,Via,AEROPORTO,D,1,,121,,91,1
5010,Via,AEROPORTO,P,2,,74,,91,1
80,Piazzetta,AGOSTINIANI,D,1,,5,,5,12
80,Piazzetta,AGOSTINIANI,P,4,,4,,5,12
5730,Via,AICHNER,D,1,,47,,89,1
5730,Via,AICHNER,P,2,,4,,89,1
6105,Via,ALBERA,D,1,,69,,71,6
6105,Via,ALBERA,P,8,,52,,71,6
3801,Via,ALBERIONE,D,1,,31,,30,11
3801,Via,ALBERIONE,P,2,,10,,30,11
6464,Via,ALBERTI POJA,D,1,,43,,64,6
90,Via,ALFIERI,D,9,,13,,3,12
90,Via,ALFIERI,P,6,,6,,3,12
100,Corso,ALPINI,D,1,,35,,10,12
100,Corso,ALPINI,P,2,,28,,10,12
6490,Via,ALTENBURGER,D,1,,9,,70,6
6490,Via,ALTENBURGER,P,2,,2,,70,6
110,Via,ALTIPIANI,D,1,,3,,35,10
110,Via,ALTIPIANI,P,2,,10,,35,10
5102,Via,ALTO ADIGE,D,3,,93,,90,1
5102,Via,ALTO ADIGE,P,10,,230,,90,1
5102,Via,ALTO ADIGE,P,232,,232,,81,2
5102,Via,ALTO ADIGE,P,234,,250,,90,1
8600,Via,ALTO SASSO,D,3,,45,,76,4
8600,Via,ALTO SASSO,P,2,,38,,76,4
120,Via,AMBROSI,D,1,,7,,5,12
120,Via,AMBROSI,P,2,,20,,5,12
7264,Via,ANCóNA,D,5,,5,,50,9
7264,Via,ANCóNA,P,6,,16,,50,9
5020,Via,ANDREATTA,D,1,,33,,92,1
5020,Via,ANDREATTA,P,2,,26,,92,1
8111,Via,ANDRóNA,D,1,,7,,79,3
8111,Via,ANDRóNA,P,4,,10,,79,3
130,Piazzetta,ANFITEATRO,D,7,,19,,3,12
130,Piazzetta,ANFITEATRO,P,6,,18,,3,12
6001,Via,ANSELMI,D,1,,17,,67,6
6001,Via,ANSELMI,P,2,,4,,67,6
140,Via,ANTONIO DA TRENTO,D,1,,25,,9,12
140,Via,ANTONIO DA TRENTO,P,2,,24,,9,12
150,Via,ANZOLETTI,D,1,,5,,32,10
150,Via,ANZOLETTI,P,2,,32,,32,10
160,Via,AOSTA,D,1,,17,,33,10
160,Via,AOSTA,P,4,,30,,33,10
8601,Salita,APIARIO,D,1,,5,,76,4
8601,Salita,APIARIO,P,2,,8,,76,4
170,Via,APOLLONIO,D,1,,27,,33,10
5615,Via,APRILE (1945),P,4,,4,,87,1
1770,Lungadige,APULEIO,P,2,,62,,94,12
8000,Via,ARE,D,1,,57,,98,3
8000,Via,ARE,P,4,,8,,98,3
8211,Strada,ARIòL,D,11,,21,,80,3
8211,Strada,ARIòL,P,4,,8,,80,3
7010,Via,ASIAGO,D,1,,17,6,52,9
7010,Via,ASIAGO,P,2,,12,,52,9
7010,Via,ASIAGO,P,14,,14,,45,10
5030,Via,ASILO,D,3,,61,,92,1
5030,Via,ASILO,P,2,,32,,92,1
190,Via,ASILO PEDROTTI (PIETRO),D,1,,15,,25,11
190,Via,ASILO PEDROTTI (PIETRO),P,2,,20,,25,11
8472,Piazza,ASSUNTA,D,1,,27,,82,2
8472,Piazza,ASSUNTA,P,2,,28,,82,2
200,Via,AVANCINI,D,1,,7,,20,11
200,Via,AVANCINI,P,2,,26,,20,11
5038,Via,AVISIO,D,9,,15,,84,1
5038,Via,AVISIO,P,2,,20,,84,1
6050,Via,BòLLERI,D,1,,71,,68,6
6050,Via,BòLLERI,P,2,,52,,68,6
6466,Via,BòLNER,P,4,,8,,66,6
8112,Strada,BACANDI,P,8,,22,,79,3
7020,Via,BANALA,D,1,,15,,50,9
7020,Via,BANALA,P,2,,22,,50,9
210,Via,BARBACOVI,D,1,,9,,23,11
210,Via,BARBACOVI,P,2,,42,,23,11
220,Via,BARTOLAMEO DA TRENTO,P,2,,14,,4,12
5040,Via,BASSA,D,3,,21,,89,1
5040,Via,BASSA,P,2,,42,,89,1
5040,Via,BASSA,P,44,,44,,16,12
6003,Via,BASSANO,D,3,,15,,68,6
6003,Via,BASSANO,P,4,,4,,13,12
6003,Via,BASSANO,P,8,,8,,68,6
6003,Via,BASSANO,P,10,,14,,13,12
6003,Via,BASSANO,P,28,,30,,66,6
3835,Via,BASSETTI,D,1,,11,,52,9
3835,Via,BASSETTI,P,2,,8,,46,10
230,Piazza,BATTISTI,D,1,,31,,3,12
230,Piazza,BATTISTI,P,4,,28,,3,12
6413,Via,BAUER,D,3,,21,,65,6
6413,Via,BAUER,P,4,,16,,65,6
5776,Via,BECCARIA,D,3,,13,,93,1
5776,Via,BECCARIA,P,22,,24,,93,1
6462,Via,BEDóL,D,1,,5,,68,6
6462,Via,BEDóL,P,6,,6,,68,6
240,Via,BELENZANI,D,1,,53,,2,12
240,Via,BELENZANI,P,2,,78,,2,12
8001,Via,BELINA,D,1,,23,,98,3
8001,Via,BELINA,P,6,,80,,98,3
8419,Via,BELLARIA,D,1,,19,,96,2
8419,Via,BELLARIA,P,2,,44,,96,2
8419,Via,BELLARIA,P,46,,46,,82,2
6020,Via,BELLAVISTA,D,1,,43,,69,6
6020,Via,BELLAVISTA,P,2,,46,,69,6
260,Vicolo,BELLESINI,D,1,,11,,2,12
260,Vicolo,BELLESINI,P,2,,6,,2,12
8720,Via,BELVEDERE,D,1,,121,,72,5
8720,Via,BELVEDERE,P,2,,82,,72,5
270,Vicolo,BENASSUTI,D,1,,15,,6,12
270,Vicolo,BENASSUTI,P,2,,8,,6,12
5735,Via,BENEDETTI,D,1,,9,,86,1
5735,Via,BENEDETTI,P,4,,20,,86,1
280,Via,BENEVOLI,D,1,,11,,31,11
280,Via,BENEVOLI,P,2,,22,,31,11
6483,Via,BERGAMINI,D,3,,15,,66,6
6483,Via,BERGAMINI,P,4,,10,,66,6
8730,Via,BERLINA,D,1,,33,,73,5
8730,Via,BERLINA,P,2,,36,,73,5
281,Via,BERLINO,D,11,,11,,16,12
281,Via,BERLINO,P,10,,10,,16,12
8311,Via,BERSALIO,D,1,,7,,98,3
8311,Via,BERSALIO,P,2,,2,,98,3
6465,Via,BERTOLDI,D,3,,3,,64,6
6465,Via,BERTOLDI,P,4,,6,,64,6
